Time,LogPrice,Variance,Price
0.829365,4.173288,0.187884,64.928583
0.833333,4.157496,0.182775,63.911312
0.837302,4.145485,0.182807,63.148254
0.841270,4.110159,0.197101,60.956408
0.845238,4.138467,0.199609,62.706595
0.849206,4.170243,0.186624,64.731192
0.853175,4.141395,0.190852,62.890508
0.857143,4.127702,0.192224,62.035231
0.861111,4.131885,0.182280,62.295267
0.865079,4.133852,0.190139,62.417903
0.869048,4.120446,0.196531,61.586725
0.873016,4.147618,0.200362,63.283109
0.876984,4.131453,0.207801,62.268324
0.880952,4.115005,0.215913,61.252504
0.884921,4.065691,0.231099,58.305156
0.888889,4.051110,0.231703,57.461206
0.892857,4.041641,0.231162,56.919648
0.896825,4.016445,0.239978,55.503412
0.900794,4.056168,0.225378,57.752596
0.904762,4.085954,0.225125,59.498667
0.908730,4.119410,0.223271,61.522907
0.912698,4.124240,0.220441,61.820817
0.916667,4.094912,0.230459,60.034040
0.920635,4.078692,0.226706,59.068134
0.924603,4.065202,0.229803,58.276677
0.928571,4.061017,0.230813,58.033291
0.932540,4.051828,0.231095,57.502471
0.936508,4.043401,0.226347,57.019956
0.940476,4.067325,0.219178,58.400554
0.944444,4.053785,0.224945,57.615147
0.948413,4.045305,0.227949,57.128606
0.952381,4.041903,0.232963,56.934590
0.956349,4.009819,0.238069,55.136911
0.960317,4.030772,0.229036,56.304346
0.964286,4.005451,0.230093,54.896554
0.968254,3.984228,0.231684,53.743799
0.972222,3.983737,0.241138,53.717396
0.976190,3.980486,0.236431,53.543046
0.980159,3.966955,0.238586,52.823457
0.984127,3.960224,0.241954,52.469101
0.988095,3.954820,0.227253,52.186323
0.992063,3.963861,0.219899,52.660266
0.996032,3.990698,0.216212,54.092626
1.000000,3.961889,0.224955,52.556518
